1,exact,cms_page,/projet-punch.php,,home,,301,[],,
2,exact,cms_page,/projet-goldfish.php,,home,,301,[],,
3,exact,cms_page,/projet-post-moderne.php,,home,,301,[],,
4,exact,cms_page,/projet-brun-fluo.php,,home,,301,[],,
5,exact,cms_page,/projet-dubo.php,,home,,301,[],,
6,exact,cms_page,/projet-cyclovic.php,,home,,301,[],,
7,exact,cms_page,/projet-dejouer.php,,home,,301,[],,
8,exact,cms_page,/projet-festival-mode.php,,home,,301,[],,
9,exact,cms_page,/projet-agenda-cmv.php,,home,,301,[],,
10,exact,cms_page,/projet-telecom-sans-limite.php,,home,,301,[],,
11,exact,cms_page,/projet-festival-musique.php,,home,,301,[],,
12,exact,cms_page,/projet-boreale.php,,404,,301,[],,
13,exact,cms_page,"/forum/index.php/topic,333.0.html",,404,,404,[],,
14,exact,cms_page,/portfolio_packaging.php,,404,,404,[],,
15,exact,cms_page,/podw/index.php/History,,404,,404,[],,
16,exact,cms_page,/index.html,,home,,301,[],,
18,exact,cms_page,/module/news/rss.php,,404,,404,[],,
20,exact,path_or_url,/favicon.ico,/themes/jtherczeg-corlate/assets/images/ico/favicon.ico,,,301,[],,
25,exact,cms_page,/404,,404,,404,[],,
27,exact,cms_page,/phpBB3/index.php,,404,,404,[],,
28,exact,cms_page,/gn/histoiregn.php,,404,,404,[],,
29,exact,cms_page,"/g;m.parentNode.insertBefore(a,m)  })(window,document,'script','https://www.google-analytics.com/analytics.js','ga');  ga('create', 'UA-70359045-5', 'auto');  ga('send', 'pageview');</script",,404,,404,[],,
30,exact,path_or_url,/site/wp-content/uploads/2011/01/FoisyA_pe1_ps_brochure.pdf,/storage/app/media/pdf/FoisyA_pe1_ps_brochure.pdf,,,301,[],,
31,exact,cms_page,/brunfluo.html,,home,,301,[],,
32,exact,cms_page,/contact.php,,home,,301,[],,
35,exact,cms_page,/discographie.html,,404,,404,[],,
40,exact,cms_page,/services.php,,home,,301,[],,
41,exact,cms_page,/forum/index.php,,404,,410,[],,
